Data from roomtemp1_322 nm__0__15-20-41-799.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:21:21.343	1743805281343	-0.01663
15:21:21.363	1743805281363	-0.02096
15:21:21.382	1743805281382	-0.02105
15:21:21.403	1743805281403	-0.01466
15:21:21.421	1743805281421	-0.02178
15:21:21.440	1743805281440	-0.02336
15:21:21.460	1743805281460	-0.01517
15:21:21.479	1743805281479	-0.02257
15:21:21.499	1743805281499	-0.0161
15:21:21.518	1743805281518	-0.01823
15:21:21.538	1743805281538	-0.01864
15:21:21.557	1743805281557	-0.01654
15:21:21.577	1743805281577	-0.01741
15:21:21.596	1743805281596	-0.0185
15:21:21.615	1743805281615	-0.01874
15:21:21.635	1743805281635	-0.01244
15:21:21.655	1743805281655	-0.01763
15:21:21.674	1743805281674	-0.01802
15:21:21.693	1743805281693	-0.02016
15:21:21.713	1743805281713	-0.02004
15:21:21.732	1743805281732	-0.02505
15:21:21.751	1743805281751	-0.01748
15:21:21.771	1743805281771	-0.01968
15:21:21.791	1743805281791	-0.02536
15:21:21.810	1743805281810	-0.01049
15:21:21.829	1743805281829	-0.01712
15:21:21.849	1743805281849	-0.01787
15:21:21.868	1743805281868	-0.01811
15:21:21.888	1743805281888	-0.02098
15:21:21.907	1743805281907	-0.02139
15:21:21.927	1743805281927	-0.01666
15:21:21.946	1743805281946	-0.01202
15:21:21.966	1743805281966	-0.01673
15:21:21.985	1743805281985	-0.02717
15:21:22.005	1743805282005	-0.02312
15:21:22.024	1743805282024	-0.01702
15:21:22.043	1743805282043	-0.01658
15:21:22.063	1743805282063	-0.01787
15:21:22.082	1743805282082	-0.01322
15:21:22.102	1743805282102	-0.02264
15:21:22.136	1743805282136	-0.02041
15:21:22.160	1743805282160	-0.01714
15:21:22.179	1743805282179	-0.01855
15:21:22.199	1743805282199	-0.01615
15:21:22.219	1743805282219	-0.01644
15:21:22.238	1743805282238	-0.02529
15:21:22.257	1743805282257	-0.0115
15:21:22.277	1743805282277	-0.01588
15:21:22.296	1743805282296	-0.02117
15:21:22.316	1743805282316	-0.0117
15:21:22.335	1743805282335	-0.01478
15:21:22.355	1743805282355	-0.01025
15:21:22.374	1743805282374	-0.0211
15:21:22.394	1743805282394	-0.01605
15:21:22.413	1743805282413	-0.01566
15:21:22.432	1743805282432	-0.02098
15:21:22.452	1743805282452	-0.016
15:21:22.471	1743805282471	-0.01869
15:21:22.491	1743805282491	-0.01881
15:21:22.510	1743805282510	-0.03139
15:21:22.530	1743805282530	-0.01896
15:21:22.549	1743805282549	-0.01444
15:21:22.568	1743805282568	-0.01527
15:21:22.588	1743805282588	-0.02493
15:21:22.607	1743805282607	-0.01361
15:21:22.627	1743805282627	-0.01855
15:21:22.646	1743805282646	-0.02093
15:21:22.666	1743805282666	-0.01439
15:21:22.685	1743805282685	-0.01867
15:21:22.705	1743805282705	-0.01792
15:21:22.724	1743805282724	-0.02149
15:21:22.744	1743805282744	-0.01312
15:21:22.763	1743805282763	-0.01867
15:21:22.783	1743805282783	-0.02579
15:21:22.802	1743805282802	-0.0129
15:21:22.821	1743805282821	-0.01908
15:21:22.841	1743805282841	-0.01811
15:21:22.860	1743805282860	-0.01537
15:21:22.880	1743805282880	-0.01811
15:21:22.900	1743805282900	-0.01944
15:21:22.919	1743805282919	-0.02273
15:21:22.938	1743805282938	-0.02617
15:21:22.958	1743805282958	-0.01534
15:21:22.977	1743805282977	-0.01867
15:21:22.997	1743805282997	-0.00825
15:21:23.016	1743805283016	-0.01412
15:21:23.036	1743805283036	-0.0205
15:21:23.055	1743805283055	-0.01753
15:21:23.075	1743805283075	-0.01425
15:21:23.094	1743805283094	-0.01959
15:21:23.113	1743805283113	-0.0168
15:21:23.133	1743805283133	-0.01064
15:21:23.153	1743805283153	-0.02178
15:21:23.172	1743805283172	-0.01918
15:21:23.191	1743805283191	-0.02271
15:21:23.211	1743805283211	-0.02261
15:21:23.230	1743805283230	-0.0185
15:21:23.250	1743805283250	-0.0217
15:21:23.269	1743805283269	-0.01983
15:21:23.303	1743805283303	-0.02002
15:21:23.327	1743805283327	-0.01731
15:21:23.346	1743805283346	-0.01816
15:21:23.366	1743805283366	-0.01966
15:21:23.385	1743805283385	-0.02302
15:21:23.405	1743805283405	-0.01571
15:21:23.424	1743805283424	-0.01551
15:21:23.444	1743805283444	-0.0162
15:21:23.464	1743805283464	-0.01104
15:21:23.483	1743805283483	-0.01498
15:21:23.503	1743805283503	-0.01175
15:21:23.522	1743805283522	-0.02182
15:21:23.541	1743805283541	-0.01471
15:21:23.561	1743805283561	-0.0184
15:21:23.580	1743805283580	-0.02021
15:21:23.599	1743805283599	-0.0198
15:21:23.619	1743805283619	-0.02024
15:21:23.638	1743805283638	-0.02158
15:21:23.658	1743805283658	-0.01845
15:21:23.677	1743805283677	-0.01845
15:21:23.697	1743805283697	-0.01857
15:21:23.716	1743805283716	-0.02132
15:21:23.736	1743805283736	-0.01722
15:21:23.755	1743805283755	-0.01709
15:21:23.775	1743805283775	-0.01449
15:21:23.794	1743805283794	-0.02166
15:21:23.814	1743805283814	-0.02113
15:21:23.833	1743805283833	-0.01925
15:21:23.853	1743805283853	-0.01202
15:21:23.872	1743805283872	-0.01109
