Latest: Time (s),Latest: Temperature (°C)
0,18.28873967
4,18.30364722
8,18.07066584
12,17.95662853
16,17.85364722
20,17.83259096
24,17.81259096
28,17.81706262
32,17.82004364
36,17.84302459
40,17.87302459
44,17.97451504
48,18.09600548
52,18.3274959
56,18.3289863
60,18.33047669
64,18.33047669
68,18.18345742
72,17.98792838
76,17.83345742
80,17.83792838
84,17.83643808
88,17.98941867
92,18.18941867
96,18.34239921
100,18.34388945
104,18.19239921
108,17.99537967
112,17.84388945
116,17.84985025
120,17.84537967
124,17.99239921
128,18.19836007
132,18.34985025
136,18.34985025
140,18.35730089
144,18.13858913
148,18.16689141
152,18.29492419
156,18.45554449
160,18.61598516
164,18.83111686
168,19.03854041
172,19.25456053
176,19.3742821
180,19.62379323
184,19.75504566
188,19.86115533
192,19.97898098
196,20.12909832
200,20.52027508
204,20.59964118
208,20.47981829
212,20.4317676
216,20.44184447
220,20.51892944
224,20.55465065
228,20.6308771
232,20.66165322
236,20.78713843
240,20.89036254
244,21.04892472
248,21.21722722
252,21.4838133
256,21.53941315
260,21.59938779
264,21.64764912
268,21.54005264
272,21.36929216
276,21.24706648
280,21.27337612
284,21.30552857
288,21.48183206
292,21.70959388
296,21.88735267
300,21.92095139
304,21.78263688
308,21.60308521
312,21.46330877
316,21.48375469
320,21.50565927
324,21.66588078
328,21.88632263
332,22.04654296
336,22.06406261
340,22.07574174
344,21.83158112
348,21.84471925
352,21.85785674
356,21.87829157
360,21.88996792
364,21.89434643
368,21.90310323
372,21.91040034
376,21.91477852
380,21.924994
384,21.93812762
388,21.94250536
392,21.94980143
396,21.95271981
400,21.96001562
404,21.96877033
408,22.22022942
412,22.22460665
416,21.99898381
420,21.88190188
424,21.79211489
428,21.75919693
432,21.7508686
436,21.75378644
440,21.75232752
444,21.77378644
448,21.80962203
452,21.91253978
456,22.03837519
460,22.26983403
464,22.27129285
468,22.27566929
472,22.27858687
476,22.12421049
480,21.92712809
484,21.78150443
488,21.7829632
492,21.78588071
496,21.93879819
500,22.1329632
504,22.29317435
508,22.29025692
512,22.14171564
516,21.94317435
520,21.79171564
524,21.79463306
528,21.79755045
532,21.94900913
536,22.14755045
540,22.30338514
544,22.29755045
548,22.30192648
552,22.04900913
556,22.05192648
560,22.05484379
564,22.05484379
568,22.05484379
572,22.05192648
