Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T
5900.00,82.02
5899.88,82.03
5899.75,82.02
5899.63,82.02
5899.50,82.03
5899.38,82.06
5899.25,82.10
5899.13,82.12
5899.00,82.12
5898.88,82.11
5898.75,82.13
5898.63,82.16
5898.50,82.18
5898.38,82.17
5898.25,82.12
5898.13,82.05
5898.00,81.99
5897.88,81.96
5897.75,81.96
5897.63,81.98
5897.50,82.00
5897.38,81.99
5897.25,81.95
5897.13,81.89
5897.00,81.85
5896.88,81.85
5896.75,81.89
5896.63,81.94
5896.50,81.99
5896.38,82.01
5896.25,82.01
5896.13,82.02
5896.00,82.04
5895.88,82.06
5895.75,82.06
5895.63,82.06
5895.50,82.04
5895.38,82.01
5895.25,81.99
5895.13,81.95
5895.00,81.92
5894.88,81.89
5894.75,81.88
5894.63,81.90
5894.50,81.93
5894.38,81.96
5894.25,81.96
5894.13,81.92
5894.00,81.87
5893.88,81.83
5893.75,81.84
5893.63,81.86
5893.50,81.88
5893.38,81.90
5893.25,81.91
5893.13,81.90
5893.00,81.85
5892.88,81.77
5892.75,81.70
5892.63,81.68
5892.50,81.70
5892.38,81.71
5892.25,81.70
5892.13,81.67
5892.00,81.63
5891.88,81.60
5891.75,81.56
5891.63,81.53
5891.50,81.53
5891.38,81.57
5891.25,81.63
5891.13,81.67
5891.00,81.66
5890.88,81.60
5890.75,81.52
5890.63,81.48
5890.50,81.49
5890.38,81.51
5890.25,81.54
5890.13,81.54
5890.00,81.51
5889.88,81.48
5889.75,81.45
5889.63,81.46
5889.50,81.51
5889.38,81.56
5889.25,81.58
5889.13,81.55
5889.00,81.53
5888.88,81.52
5888.75,81.52
5888.63,81.53
5888.50,81.55
5888.38,81.59
5888.25,81.64
5888.13,81.67
5888.00,81.70
5887.88,81.73
5887.75,81.73
5887.63,81.71
5887.50,81.67
5887.38,81.63
5887.25,81.61
5887.13,81.58
5887.00,81.56
5886.88,81.54
5886.75,81.53
5886.63,81.51
5886.50,81.49
5886.38,81.47
5886.25,81.46
5886.13,81.46
5886.00,81.46
5885.88,81.46
5885.75,81.47
5885.63,81.48
5885.50,81.49
5885.38,81.49
5885.25,81.49
5885.13,81.47
5885.00,81.45
5884.88,81.44
5884.75,81.46
5884.63,81.52
5884.50,81.60
5884.38,81.65
5884.25,81.69
5884.13,81.72
5884.00,81.76
5883.88,81.80
5883.75,81.84
5883.63,81.86
5883.50,81.86
5883.38,81.87
5883.25,81.88
5883.13,81.89
5883.00,81.90
5882.88,81.90
5882.75,81.89
5882.63,81.89
5882.50,81.91
5882.38,81.94
5882.25,81.97
5882.13,82.00
5882.00,82.04
5881.88,82.06
5881.75,82.07
5881.63,82.06
5881.50,82.05
5881.38,82.02
5881.25,81.97
5881.13,81.93
5881.00,81.92
5880.88,81.94
5880.75,81.97
5880.63,81.98
5880.50,81.97
5880.38,81.96
5880.25,81.96
5880.13,81.99
5880.00,82.05
5879.88,82.09
5879.75,82.09
5879.63,82.04
5879.50,81.98
5879.38,81.93
5879.25,81.91
5879.13,81.92
5879.00,81.95
5878.88,81.97
5878.75,81.97
5878.63,81.96
5878.50,81.94
5878.38,81.94
5878.25,81.94
5878.13,81.93
5878.00,81.91
5877.88,81.89
5877.75,81.92
5877.63,81.97
5877.50,82.03
5877.38,82.06
5877.25,82.06
5877.13,82.05
5877.00,82.04
5876.88,82.04
5876.75,82.02
5876.63,81.99
5876.50,81.96
5876.38,81.96
5876.25,81.97
5876.13,82.00
5876.00,82.00
5875.88,81.99
5875.75,81.96
5875.63,81.94
5875.50,81.93
5875.38,81.94
5875.25,81.97
5875.13,82.01
5875.00,82.05
5874.88,82.07
5874.75,82.07
5874.63,82.04
5874.50,81.99
5874.38,81.96
5874.25,81.97
5874.13,82.02
5874.00,82.07
5873.88,82.10
5873.75,82.11
5873.63,82.10
5873.50,82.09
5873.38,82.09
5873.25,82.08
5873.13,82.06
5873.00,82.03
5872.88,82.01
5872.75,82.00
5872.63,82.00
5872.50,82.01
5872.38,82.02
5872.25,82.02
5872.13,82.01
5872.00,82.01
5871.88,82.00
5871.75,81.99
5871.63,81.98
5871.50,81.97
5871.38,81.97
5871.25,81.98
5871.13,82.00
5871.00,82.03
5870.88,82.05
5870.75,82.06
5870.63,82.06
5870.50,82.05
5870.38,82.04
5870.25,82.02
5870.13,82.00
5870.00,82.01
5869.88,82.04
5869.75,82.06
5869.63,82.07
5869.50,82.05
5869.38,82.02
5869.25,82.00
5869.13,81.99
5869.00,82.00
5868.88,82.01
5868.75,82.00
5868.63,81.99
5868.50,82.01
5868.38,82.05
5868.25,82.08
5868.13,82.08
5868.00,82.05
5867.88,82.03
5867.75,82.03
5867.63,82.04
5867.50,82.05
5867.38,82.06
5867.25,82.07
5867.13,82.06
5867.00,82.06
5866.88,82.06
5866.75,82.06
5866.63,82.07
5866.50,82.10
5866.38,82.14
5866.25,82.15
5866.13,82.11
5866.00,82.04
5865.88,81.99
5865.75,81.98
5865.63,81.99
5865.50,81.99
5865.38,81.98
5865.25,81.98
5865.13,81.99
5865.00,82.01
5864.88,82.04
5864.75,82.06
5864.63,82.07
5864.50,82.05
5864.38,82.00
5864.25,81.97
5864.13,81.98
5864.00,82.01
5863.88,82.06
5863.75,82.09
5863.63,82.10
5863.50,82.10
5863.38,82.09
5863.25,82.09
5863.13,82.10
5863.00,82.13
5862.88,82.15
5862.75,82.14
5862.63,82.10
5862.50,82.06
5862.38,82.03
5862.25,82.01
5862.13,81.99
5862.00,81.98
5861.88,81.98
5861.75,82.02
5861.63,82.06
5861.50,82.11
5861.38,82.14
5861.25,82.14
5861.13,82.11
5861.00,82.05
5860.88,82.00
5860.75,81.97
5860.63,81.96
5860.50,81.98
5860.38,82.02
5860.25,82.06
5860.13,82.08
5860.00,82.07
5859.88,82.04
5859.75,82.02
5859.63,82.01
5859.50,82.01
5859.38,82.00
5859.25,81.96
5859.13,81.92
5859.00,81.88
5858.88,81.86
5858.75,81.86
5858.63,81.87
5858.50,81.89
5858.38,81.92
5858.25,81.96
5858.13,81.99
5858.00,82.01
5857.88,82.02
5857.75,82.02
5857.63,82.01
5857.50,81.99
5857.38,81.97
5857.25,81.96
5857.13,81.97
5857.00,81.98
5856.88,81.99
5856.75,81.97
5856.63,81.96
5856.50,81.97
5856.38,82.02
5856.25,82.05
5856.13,82.06
5856.00,82.02
5855.88,81.95
5855.75,81.88
5855.63,81.84
5855.50,81.84
5855.38,81.88
5855.25,81.92
5855.13,81.92
5855.00,81.90
5854.88,81.88
5854.75,81.86
5854.63,81.82
5854.50,81.78
5854.38,81.74
5854.25,81.72
5854.13,81.70
5854.00,81.69
5853.88,81.68
5853.75,81.67
5853.63,81.66
5853.50,81.62
5853.38,81.60
5853.25,81.59
5853.13,81.58
5853.00,81.57
5852.88,81.57
5852.75,81.58
5852.63,81.59
5852.50,81.58
5852.38,81.56
5852.25,81.55
5852.13,81.55
5852.00,81.55
5851.88,81.53
5851.75,81.51
5851.63,81.48
5851.50,81.48
5851.38,81.50
5851.25,81.54
5851.13,81.59
5851.00,81.63
5850.88,81.68
5850.75,81.74
5850.63,81.80
5850.50,81.83
5850.38,81.82
5850.25,81.79
5850.13,81.76
5850.00,81.73
5849.88,81.71
5849.75,81.71
5849.63,81.73
5849.50,81.73
5849.38,81.69
5849.25,81.64
5849.13,81.61
5849.00,81.61
5848.88,81.61
5848.75,81.58
5848.63,81.55
5848.50,81.53
5848.38,81.54
5848.25,81.56
5848.13,81.58
5848.00,81.59
5847.88,81.57
5847.75,81.54
5847.63,81.51
5847.50,81.52
5847.38,81.55
5847.25,81.59
5847.13,81.62
5847.00,81.65
5846.88,81.67
5846.75,81.70
5846.63,81.74
5846.50,81.76
5846.38,81.78
5846.25,81.80
5846.13,81.83
